cvegeo,longitude,latitude,stateName,munName,locName,habit,notHabit,destroyed,total,analfabet,margGrade,margIndex,dirtFloor,roomOccup,noPlumb,noElec,noToilet,noPrimary,noFridge
170040099,-98.8891666769,18.7830555538,Morelos,Ayala,Campo los Pilares,,,,-1,0,Alto,15.2508428274,0,11,100,62.5,0,40,87.5
170220037,-98.7161811538,18.8903896615,Morelos,Tetela del Volcán,Cacapola,,,,-1,4,Alto,8.3373438018,0,10.7272727273,0,0,0,24,80
070890730,-92.3088888923,15.1794444462,Chiapas,Tapachula,El Chorro,,,,2,14.8936170213,Alto,16.2486439634,37.5,19.2727272727,100,0,0,44.6808510638,50
150090107,-98.7874874154,19.1645739846,México,Amecameca,Rancho el Risco,,,,-1,0,Bajo,4.3801403246,0,9.0909090909,100,0,0,0,0
090020001,-99.1821069421,19.4853286143,Ciudad de México,Azcapotzalco,Azcapotzalco,,,,-1,1.6171282767,Muy bajo,2.6131116746,0.5982700838,7.6363636364,0.5152319867,0.0246184146,1.0378317731,7.5866619857,5.9736685249
090030001,-99.1503763519,19.3266672539,Ciudad de México,Coyoacán,Coyoacán,,,,-1,1.5366139511,Muy bajo,2.3767759475,0.8771827571,6.9090909091,0.3315019589,0.0271353186,1.2829441525,6.7853595828,5.6837476474
090040001,-99.2832034486,19.3612438575,Ciudad de México,Cuajimalpa de Morelos,Cuajimalpa de Morelos,,,,-1,2.2575996706,Muy bajo,3.2358928813,1.3823035047,7.8181818182,2.5679456435,0.0871362063,1.1289482173,9.7168918798,11.0934669876
090040010,-99.3236106308,19.3189517846,Ciudad de México,Cuajimalpa de Morelos,Cruz Blanca,,,,-1,6.3981042654,Alto,8.6060070408,16.9117647059,13.5454545455,7.3529411765,0,7.299270073,20.3931203931,42.3357664234
090040020,-99.3295059523,19.3210128496,Ciudad de México,Cuajimalpa de Morelos,San Lorenzo Acopilco,,,,-1,2.5759697948,Bajo,4.4153960826,1.7821054565,9.5454545455,3.6771465343,0.2019460253,1.7942145734,11.8204804046,21.1644086415
090040050,-99.3108590615,19.3334947077,Ciudad de México,Cuajimalpa de Morelos,La Venta,,,,-1,5.7742782152,Bajo,4.4371624587,0.8130081301,10.0909090909,1.6260162602,0,1.6260162602,12.4653739612,13.8211382114
090040054,-99.3480555538,19.2958333385,Ciudad de México,Cuajimalpa de Morelos,Puerto las Cruces (Monte las Cruces),,,,-1,3.8461538462,Medio,6.6765494675,5.5555555556,10.5454545455,23.1481481481,0.9259259259,5.5555555556,13.4868421053,38.8888888889
090040055,-99.3241666615,19.3463888923,Ciudad de México,Cuajimalpa de Morelos,Teopazulco,,,,-1,12.5,Alto,14.1656774439,0,18.1818181818,75,25,0,12.5,100
090040057,-99.3269322308,19.3524987692,Ciudad de México,Cuajimalpa de Morelos,Prolongación Constitución,,,,-1,9.0909090909,Alto,17.862224739,66.6666666667,40.9090909091,0,0,33.3333333333,30,0
